Price incl. 19 % VAT - valid from 01.01.2021;PNC;GARDENA Part Number
3,9;115706951;00011-57.069.51
3,9;115724451;00011-57.244.51
3,9;115780851;00011-57.808.51
3,9;115785951;00011-57.859.51
3,9;115894551;00011-58.945.51
3,9;115894651;00011-58.946.51
38,16;295611813;00029-56.118.13
3,05;295613601;00029-56.136.01
19,88;295656901;00029-56.569.01
3,51;371379101;00037-13.791.01
3,34;371900701;00037-19.007.01
5,25;371902101;00037-19.021.01
1,29;371914201;00037-19.142.01
1,81;371914401;00037-19.144.01
10,28;371914701;00037-19.147.01
159,63;501105601;00050-11.056.01
6,56;501105702;00050-11.057.02
23,47;501105801;00050-11.058.01
31,27;501105901;00050-11.059.01
106,97;501106001;00050-11.060.01
10,32;501106101;00050-11.061.01
26,78;501106301;00050-11.063.01
49,58;501106401;00050-11.064.01
58,96;501106501;00050-11.065.01
28,45;501106601;00050-11.066.01
86,99;501118201;00050-11.182.01
34,09;501166901;00050-11.669.01
2,99;501489801;00050-14.898.01
2,99;501490201;00050-14.902.01
10,56;501491101;00050-14.911.01
116,44;501843601;00050-18.436.01
2,99;501980201;00050-19.802.01
2,5;502405301;00050-24.053.01
7,78;502502701;00050-25.027.01
1,73;503226601;00050-32.266.01
26;504113310;00050-41.133.10
17,84;505209401;00050-52.094.01
17,96;505259002;00050-52.590.02
1,49;510019501;00051-00.195.01
97,95;510173602;00051-01.736.02
2,67;510310301;00051-03.103.01
7,33;510721703;00051-07.217.03
6,43;510761800;00051-07.618.00
5,74;510763400;00051-07.634.00
11,26;510783300;00051-07.833.00
4,26;512802500;00051-28.025.00
20,47;512831231;00051-28.312.31
41,48;512831234;00051-28.312.34
2,45;513103709;00051-31.037.09
1,61;513103712;00051-31.037.12
2,14;514912900;00051-49.129.00
13,32;521951201;00052-19.512.01
0,4;522490801;00052-24.908.01
18,66;522828201;00052-28.282.01
3,38;522857701;00052-28.577.01
5,74;525300701;00052-53.007.01
1,98;525423101;00052-54.231.01
4,03;525463202;00052-54.632.02
4,03;532150406;00053-21.504.06
4,86;535075703;00053-50.757.03
0,93;535076001;00053-50.760.01
4,87;535081501;00053-50.815.01
2,8;535082501;00053-50.825.01
1,49;535087401;00053-50.874.01
1,49;535087802;00053-50.878.02
9,1;535126401;00053-51.264.01
3,99;535127901;00053-51.279.01
2,99;535129001;00053-51.290.01
1,79;535129303;00053-51.293.03
0,75;535130310;00053-51.303.10
0,75;535130502;00053-51.305.02
17,2;544462202;00054-44.622.02
19,33;544462302;00054-44.623.02
19,97;544916904;00054-49.169.04
18,83;544917302;00054-49.173.02
9,89;574373501;00057-43.735.01
3,43;574373701;00057-43.737.01
15,39;574383002;00057-43.830.02
1,09;574450101;00057-44.501.01
25,49;574465104;00057-44.651.04
26,28;574467202;00057-44.672.02
12,84;574467301;00057-44.673.01
3,46;574469002;00057-44.690.02
6,75;574469102;00057-44.691.02
21,5;574475901;00057-44.759.01
48,67;574476502;00057-44.765.02
12,19;574477702;00057-44.777.02
7,41;574479001;00057-44.790.01
7,77;574479201;00057-44.792.01
13,46;574479801;00057-44.798.01
27,39;574480301;00057-44.803.01
27,17;574480302;00057-44.803.02
5,19;574484601;00057-44.846.01
2,39;574485102;00057-44.851.02
2,23;574487001;00057-44.870.01
14,66;574487101;00057-44.871.01
7,4;574490003;00057-44.900.03
5,8;574501901;00057-45.019.01
2,99;574503501;00057-45.035.01
2,64;574610502;00057-46.105.02
9,2;574645701;00057-46.457.01
35,97;574645901;00057-46.459.01
29,98;574645902;00057-46.459.02
18,18;574815001;00057-48.150.01
18,27;574815101;00057-48.151.01
19,05;574815201;00057-48.152.01
19,1;574815301;00057-48.153.01
2,75;574855702;00057-48.557.02
3,12;575238602;00057-52.386.02
7,53;575238603;00057-52.386.03
6,2;575238606;00057-52.386.06
4,4;575408201;00057-54.082.01
3,22;575409001;00057-54.090.01
2,2;575415801;00057-54.158.01
5,28;575416002;00057-54.160.02
0,75;575543310;00057-55.433.10
0,93;575543314;00057-55.433.14
17,43;575581967;00057-55.819.67
6,43;575582067;00057-55.820.67
5,8;575582167;00057-55.821.67
6,68;575582267;00057-55.822.67
14,76;575582464;00057-55.824.64
46,21;575582902;00057-55.829.02
30,67;575583302;00057-55.833.02
14,51;575583601;00057-55.836.01
14,51;575583701;00057-55.837.01
38,07;575717901;00057-57.179.01
1,23;576019402;00057-60.194.02
2,03;576030101;00057-60.301.01
1,09;576047401;00057-60.474.01
4,09;576053901;00057-60.539.01
25,78;576137306;00057-61.373.06
28,04;576137368;00057-61.373.68
8,63;576183201;00057-61.832.01
4,03;576183301;00057-61.833.01
0,75;576213501;00057-62.135.01
0,93;576213801;00057-62.138.01
1,27;576213902;00057-62.139.02
8,25;576220201;00057-62.202.01
2,23;576242201;00057-62.422.01
3,99;576697001;00057-66.970.01
28,7;576842201;00057-68.422.01
4,26;577093201;00057-70.932.01
2,23;577103201;00057-71.032.01
4,37;577134701;00057-71.347.01
28,02;577233507;00057-72.335.07
44,51;577233508;00057-72.335.08
123,58;577234001;00057-72.340.01
1,71;577298401;00057-72.984.01
0,98;577512201;00057-75.122.01
5,21;577518102;00057-75.181.02
34,31;577706502;00057-77.065.02
14,14;577706601;00057-77.066.01
27,8;577707203;00057-77.072.03
33,19;577707301;00057-77.073.01
32,05;577707303;00057-77.073.03
31,42;577707304;00057-77.073.04
25,63;577707601;00057-77.076.01
25,92;577707603;00057-77.076.03
25,63;577707604;00057-77.076.04
6,05;577707801;00057-77.078.01
8,5;577707901;00057-77.079.01
5,89;577713701;00057-77.137.01
1,09;577713801;00057-77.138.01
2,96;577713901;00057-77.139.01
4,33;577715001;00057-77.150.01
4,93;577727902;00057-77.279.02
2,02;577728168;00057-77.281.68
48,33;577752902;00057-77.529.02
160,1;577839906;00057-78.399.06
49,49;577846203;00057-78.462.03
33,77;577876701;00057-78.767.01
224,64;577955308;00057-79.553.08
267,42;577955309;00057-79.553.09
246,03;577955311;00057-79.553.11
251,38;577955312;00057-79.553.12
200,25;577972315;00057-79.723.15
30,8;577985902;00057-79.859.02
11,04;577986302;00057-79.863.02
15,42;577986401;00057-79.864.01
16,59;577986604;00057-79.866.04
11,14;577987567;00057-79.875.67
13,2;577987867;00057-79.878.67
4,94;577988106;00057-79.881.06
5,33;577988306;00057-79.883.06
5,4;577988467;00057-79.884.67
5,8;577988667;00057-79.886.67
78,98;578211701;00057-82.117.01
100,33;578211801;00057-82.118.01
62,32;578275103;00057-82.751.03
36,83;578275201;00057-82.752.01
4,71;578445201;00057-84.452.01
26,48;578891568;00057-88.915.68
17,83;578906267;00057-89.062.67
67,24;578906903;00057-89.069.03
3,77;578909105;00057-89.091.05
26,72;579145901;00057-91.459.01
1,84;579177401;00057-91.774.01
1,32;579177501;00057-91.775.01
14,66;579300901;00057-93.009.01
51,04;579375301;00057-93.753.01
181,08;579391701;00057-93.917.01
133,52;579391702;00057-93.917.02
